generation_number,min,max,avg,std
0,-6.289715570908998,91.96878821817863,6.9302302274597745,24.92487024918899
1,-6.304448802421981,91.84317193830047,38.78649449532662,37.70197362793089
2,-5.855071922202427,92.09874178945526,57.557121929124484,34.079391340480036
3,-5.805134968916488,92.64317193830047,67.33341942376902,34.70244543905658
4,-5.805134968916488,92.53357331188757,74.1009224902374,28.938357901980964
5,-5.805134968916488,92.64317193830047,76.84559549628393,29.42159710576261
6,-5.8664680569332965,92.93214184093668,74.22997924569243,31.41478270361392
7,-5.8944028342648505,92.8769900208616,70.68441002241212,33.30585335945154
8,-5.7899601708972535,93.54250462797222,69.72520183068076,35.764755685632785
9,-5.8944028342648505,93.33214184093667,59.72558946132998,38.68130327525872
10,-5.799092654460526,93.54250462797222,66.15782772675682,35.90351307845654
11,3.6721238312104187,93.54250462797222,75.86102186128846,27.854959806041276
12,-5.771441123130016,93.54250462797222,80.16625512245402,26.025409001755868
13,12.171054382389793,93.54250462797222,81.03942353272754,21.22470917943363
14,3.6721238312104187,93.01261419415926,81.59542887453452,24.010022370837326
15,3.6721238312104187,93.54250462797222,81.08628639140996,21.87390886876467
16,-5.805134968916488,93.54250462797222,78.74059160882082,26.094522229453798
17,-5.805134968916488,93.54250462797222,81.52257267931641,23.440957238512482
18,3.918595635015537,93.54250462797222,83.09654444172325,18.723156326657463
19,12.10559716573515,93.54250462797222,84.64970209563431,16.684863661746693
20,3.194865031083512,93.54250462797222,83.68031545519528,19.571915021874965
21,3.30964054567594,93.54250462797222,84.37238323380038,20.235656446082007
22,21.206986391615857,93.54250462797222,82.94821764466388,19.52512305982929
23,3.049357447412273,93.54250462797222,84.62528295244945,18.936992599587665
24,21.200907345539473,93.54250462797222,86.0225027330053,14.878998668423229
25,3.6721238312104187,93.54250462797222,86.48723767119704,17.599848534174836
26,39.20698639161586,93.54250462797222,86.09027711407869,10.891587963662024
27,57.19788162462294,93.54250462797222,89.21580044746582,7.472299307854287
28,48.22544845445559,93.54250462797222,87.76854205523972,9.344179864144335
29,30.20394224923463,93.54250462797222,88.01250071026406,12.003311569269714
30,57.23167900420623,93.54250462797222,88.06050911472249,8.517081476713987
