generation_number,min,max,avg,std
0,28.37338790160041,60.19512961672839,46.08804177417811,7.270631470926467
1,43.6383033368898,59.578073557849414,50.73104191754877,4.132343776071435
2,43.5714764116922,60.204368491602146,50.6139325680324,4.286329212027591
3,45.66383879105342,60.143292395314205,51.26739972821256,3.7651990341875226
4,45.61156965017843,60.12135426837851,51.970467064982756,3.5130666613668953
5,45.676497682094,58.12339799672799,51.39116214269141,3.543863221730314
6,45.697349339041935,58.027204772668654,51.08880144961401,3.640605656220937
7,43.598510185388456,60.22340941741667,51.28121341554282,4.546800812878437
8,45.84336551705592,60.23364212672571,52.82353612202104,3.7410920103975385
9,43.68797903303948,59.724204533201636,50.82604953573133,4.041893801344851
10,45.80882233400147,60.20630648580323,52.00727093110859,3.3657423035819143
11,45.598344934175394,63.95833854123466,51.18574760924627,3.9508961257322546
12,44.64387588879422,60.124523834564066,51.332246466444076,4.097250251077407
13,44.07577743817481,60.33742398207932,51.63966817463724,3.8257703461457435
14,45.779714779811215,60.23907137025753,51.64890389166785,3.6913317571883573
15,45.53703256669432,60.204911683130796,51.822289136136675,3.8693116854718737
16,45.842520518760466,60.44887394553751,52.1451095942622,3.30437490204874
17,45.8444172993992,61.57738100851997,52.283158056563295,3.452872562532462
18,45.77676779087321,60.13698476046206,51.29966530261302,3.6136512918847
19,43.55349633724275,60.23031496056001,50.69433676289484,4.800817676988751
20,45.847382522902336,60.4157738962071,52.707773362345144,3.641513181507666
21,48.00005842463031,64.8054400112655,52.98153992709536,3.5481449166861445
22,45.6960108378668,61.75808326195371,52.49707941651454,4.219918711424949
23,43.87653086046442,60.29938399574691,52.169873810444514,3.891995138187419
24,46.30790485999116,64.86728361397465,53.36353125555366,3.720966831789452
25,45.82684859867081,60.42845517440505,52.20342530729802,3.5008013554482247
